shared | all_test_cost pharma_search self_test test_types covid_stats ask_chitchat what_is_ilsp all_ways_of_protection general_knowledge_tests
8:0.0:0.125 | underlying_conditions
| icu_stats_form
| vaccine_stats_form
| ill_questionnaire_form
| symptoms
| what_to_do_if_positive
| no_action

shared | mask_faq whats_your_name collective_ways_of_protection
7:1.0:0.08333333333333333 | test_types
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| symptoms
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | 
8:1.0:0.07692307692307693 | underlying_conditions
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| no_action

shared | covid_stats whats_your_name
4:1.0:0.08333333333333333 | pharmacy_form
| icu_stats_form
| vaccine_stats_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | covid_stats personal_ways_of_protection vaccine_stats what_is_athena
4:0.0:0.1 | pharmacy_form
| icu_stats_form
| ill_questionnaire_form
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | EODY_faq whats_your_name symptoms what_is_ilsp
7:1.0:0.08333333333333333 | test_types
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | what_to_do_if_positive what_is_ilsp test_types collective_ways_of_protection
4:1.0:0.1 | pharmacy_form
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| ill_questionnaire_form
| symptoms
| test_cost
| underlying_conditions
| no_action

shared | whats_your_name what_is_athena covid_stats what_to_do_if_positive personal_ways_of_protection what_is_ilsp all_ways_of_protection
3:1.0:0.1 | no_action
| icu_stats_form
| vaccine_stats_form
| pharmacy_form
| ill_questionnaire_form
| symptoms
| test_types
| test_cost
| underlying_conditions

shared | covid_stats
1:1.0:0.08333333333333333 | icu_stats_form
| vaccine_stats_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | pcr_test_cost whats_your_name vaccine_stats what_is_athena test_types why_avoid_pharma what_is_ilsp
11:0.0:0.1 | what_to_do_if_positive
| icu_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| underlying_conditions
| no_action

shared | vaccines
4:1.0:0.07692307692307693 | pharmacy_form
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | what_is_athena vaccines all_test_cost covid_stats what_is_ilsp all_ways_of_protection
9:0.0:0.1 | vaccine_stats_form
| icu_stats_form
| pharmacy_form
| ill_questionnaire_form
| symptoms
| test_types
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | pcr_test_cost what_is_athena pharma_search am_i_ill ways_of_protection test_types all_ways_of_protection
1:1.0:0.125 | icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| symptoms
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | symptoms ask_chitchat whats_your_name
8:0.0:0.08333333333333333 | underlying_conditions
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| test_types
| test_cost
| what_to_do_if_positive
| no_action

shared | covid_stats
1:1.0:0.07692307692307693 | icu_stats_form
| vaccine_stats_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action
| no_action

shared | pcr_test_cost mask_faq collective_ways_of_protection
4:1.0:0.09090909090909091 | pharmacy_form
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| ill_questionnaire_form
| symptoms
| test_types
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | pcr_test_cost test_cost why_avoid_pharma ask_chitchat rapid_test_cost general_knowledge_tests
5:0.0:0.08333333333333333 | symptoms
| icu_stats_form
| vaccine_stats_form
| covid_statistics_form
| pharmacy_form
| ill_questionnaire_form
| ways_of_protection
| test_types
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | EODY_faq why_theano what_is_athena pharma_search ways_of_protection covid_stats
2:0.0:0.1 | ill_questionnaire_form
| icu_stats_form
| vaccine_stats_form
| symptoms
| test_types
| test_cost
| what_to_do_if_positive
| underlying_conditions
| no_action

shared | pcr_test_cost covid_stats ways_of_protection
8:1.0:0.1 | underlying_conditions
| icu_stats_form
| vaccine_stats_form
| pharmacy_form
| ill_questionnaire_form
| symptoms
| test_types
| what_to_do_if_positive
| no_action

shared | EODY_faq pharma_search test_types why_avoid_pharma what_is_ilsp general_knowledge_tests
6:0.0:0.09090909090909091 | test_cost
| icu_stats_form
